pair,lag,f_stat,p_value,significant_5pct,significant_10pct
JPM/BAC,1,0.2614,0.6162,False,False
JPM/BAC,2,1.8515,0.1961,False,False
JPM/BAC,3,0.5701,0.6473,False,False
JPM/BAC,4,1.0384,0.4511,False,False
JPM/BAC,5,0.6014,0.7072,False,False
XOM/CVX,1,0.0054,0.9422,False,False
XOM/CVX,2,0.1077,0.8987,False,False
XOM/CVX,3,0.1769,0.9096,False,False
XOM/CVX,4,0.4142,0.7939,False,False
XOM/CVX,5,0.4082,0.8238,False,False
JNJ/PFE,1,1.8221,0.1959,False,False
JNJ/PFE,2,0.8477,0.4508,False,False
JNJ/PFE,3,0.4658,0.7125,False,False
JNJ/PFE,4,1.649,0.2642,False,False
JNJ/PFE,5,0.8214,0.592,False,False
V/MA,1,0.5202,0.4811,False,False
V/MA,2,0.1573,0.856,False,False
V/MA,3,0.3088,0.8186,False,False
V/MA,4,0.1197,0.9711,False,False
V/MA,5,0.4089,0.8234,False,False
GS/MS,1,2.0521,0.1712,False,False
GS/MS,2,0.6721,0.5275,False,False
GS/MS,3,0.9642,0.4471,False,False
GS/MS,4,3.4051,0.0755,False,True
GS/MS,5,5.8535,0.0558,False,True
WFC/USB,1,0.3109,0.5849,False,False
WFC/USB,2,0.2289,0.7985,False,False
WFC/USB,3,0.2362,0.8691,False,False
WFC/USB,4,0.3751,0.8198,False,False
WFC/USB,5,0.3479,0.8613,False,False
MRK/ABBV,1,4.8528,0.0426,True,True
MRK/ABBV,2,2.9866,0.0857,False,True
MRK/ABBV,3,1.9149,0.1912,False,False
MRK/ABBV,4,1.292,0.3591,False,False
MRK/ABBV,5,0.7005,0.6526,False,False
SLB/HAL,1,0.3433,0.5661,False,False
SLB/HAL,2,1.6462,0.2305,False,False
SLB/HAL,3,1.2955,0.3291,False,False
SLB/HAL,4,0.5472,0.7076,False,False
SLB/HAL,5,1.2932,0.4133,False,False
BLK/TROW,1,0.2942,0.595,False,False
BLK/TROW,2,0.7316,0.4999,False,False
BLK/TROW,3,0.4108,0.7488,False,False
BLK/TROW,4,0.8356,0.5436,False,False
BLK/TROW,5,1.363,0.3933,False,False
AXP/COF,1,2.3139,0.1477,False,False
AXP/COF,2,0.4407,0.6528,False,False
AXP/COF,3,0.5008,0.6901,False,False
AXP/COF,4,1.4672,0.3082,False,False
AXP/COF,5,1.2194,0.436,False,False
