date,MS
2024-10-04,10.0
2024-10-07,11.5
2024-10-08,10.0
2024-10-09,10.0
2024-10-10,10.0
2024-10-11,12.5
2024-10-14,11.0
2024-10-15,10.0
2024-10-16,10.5
2024-10-17,10.0
2024-10-18,10.0
2024-10-21,10.0
2024-10-22,10.0
2024-10-23,10.0
2024-10-24,10.0
2024-10-25,10.5
2024-10-28,12.5
2024-10-29,10.0
2024-10-30,10.5
2024-10-31,10.0
2024-11-01,10.5
2024-11-04,10.0
2024-11-05,11.5
2024-11-06,12.5
2024-11-07,10.0
2024-11-08,12.0
2024-11-11,10.0
2024-11-12,10.0
2024-11-13,10.5
2024-11-14,10.0
2024-11-15,11.5
2024-11-18,10.0
2024-11-19,10.0
2024-11-20,10.5
2024-11-21,10.5
2024-11-22,11.0
2024-11-25,10.0
2024-11-26,13.0
2024-11-27,12.0
2024-11-29,10.5
2024-12-02,11.5
2024-12-03,10.5
2024-12-04,11.0
2024-12-05,10.0
2024-12-06,10.5
2024-12-09,11.0
2024-12-10,15.5
2024-12-11,10.0
2024-12-12,11.0
2024-12-13,10.0
2024-12-16,10.0
2024-12-17,11.0
2024-12-18,10.5
2024-12-19,10.0
2024-12-20,10.0
2024-12-23,10.5
2024-12-24,11.0
2024-12-26,11.5
2024-12-27,8.0
2024-12-30,12.5
