,ABBV,AXP,BAC,BLK,COF,CVX,GS,HAL,JNJ,JPM,MA,MRK,MS,PFE,SLB,TROW,USB,V,WFC,XOM
2024-10-04,12.5,13.0,11.0,10.0,3.0,11.0,11.5,10.0,10.5,11.0,13.0,10.0,10.0,14.0,0,0,0,0,0,0
2024-10-07,11.5,12.5,10.5,10.5,7.0,13.5,10.0,10.5,12.5,10.5,11.5,13.0,11.5,12.0,0,0,0,0,0,0
2024-10-08,11.5,11.0,12.5,10.0,4.0,13.0,12.0,0.0,10.5,11.0,12.5,10.0,10.0,11.0,0,0,0,0,0,0
2024-10-09,12.0,11.5,13.5,10.0,5.5,11.0,11.5,11.5,11.0,10.0,10.5,11.5,10.0,13.0,0,0,0,0,0,0
2024-10-10,10.5,11.0,11.5,10.0,10.0,10.5,12.0,10.0,12.5,11.0,10.5,10.0,10.0,13.0,0,0,0,0,0,0
2024-10-11,10.0,10.5,10.0,10.5,5.5,10.0,13.0,10.0,10.0,10.5,11.0,11.0,12.5,14.0,0,0,0,0,0,0
2024-10-14,12.0,10.0,11.5,10.5,7.0,10.0,12.5,10.0,11.0,11.0,10.5,11.0,11.0,11.5,0,0,0,0,0,0
2024-10-15,11.0,11.5,9.0,10.5,11.5,11.5,10.0,12.0,11.0,10.5,10.0,10.0,10.0,11.0,0,0,0,0,0,0
2024-10-16,10.0,11.0,10.5,12.5,9.0,12.5,10.0,10.5,10.5,10.0,10.5,10.0,10.5,14.5,0,0,0,0,0,0
2024-10-17,10.5,12.0,10.0,10.5,11.5,11.5,10.0,10.5,11.5,10.5,11.5,10.5,10.0,11.0,0,0,0,0,0,0
2024-10-18,11.0,0.0,10.5,11.0,5.0,10.0,10.0,10.5,10.0,13.0,11.0,10.5,10.0,12.0,0,0,0,0,0,0
2024-10-21,10.5,10.0,12.0,10.5,10.0,11.0,10.0,11.5,10.5,10.5,10.5,11.0,10.0,10.5,0,0,0,0,0,0
2024-10-22,11.0,13.0,10.5,10.0,11.5,12.0,14.5,10.0,11.5,10.0,10.5,10.5,10.0,10.5,0,0,0,0,0,0
2024-10-23,11.0,10.0,10.0,10.0,12.0,11.0,15.5,10.0,10.5,10.5,10.5,10.0,10.0,13.0,0,0,0,0,0,0
2024-10-24,10.5,10.0,11.0,10.5,10.0,10.0,17.5,11.0,10.0,11.0,11.0,10.0,10.0,11.0,0,0,0,0,0,0
2024-10-25,10.5,12.5,10.0,11.5,11.5,12.5,12.5,10.5,11.0,10.0,11.5,10.0,10.5,11.0,0,0,0,0,0,0
2024-10-28,11.0,10.5,10.5,10.0,12.0,10.5,10.5,10.5,12.0,12.0,11.5,11.0,12.5,13.5,0,0,0,0,0,0
2024-10-29,10.5,10.5,13.5,10.0,8.0,12.0,10.0,11.0,11.0,13.5,11.0,11.0,10.0,12.5,0,0,0,0,0,0
2024-10-30,11.5,11.5,12.5,10.0,8.5,10.0,11.5,10.5,10.0,11.5,12.5,10.5,10.5,11.0,0,0,0,0,0,0
2024-10-31,10.5,10.5,10.0,10.0,10.5,11.5,10.0,10.0,10.5,15.0,10.5,10.0,10.0,11.5,0,0,0,0,0,0
2024-11-01,10.0,12.5,12.0,10.5,13.5,10.5,10.0,10.0,10.0,13.0,12.0,12.0,10.5,12.0,0,0,0,0,0,0
2024-11-04,10.0,11.5,10.5,10.0,6.0,10.5,10.0,11.5,11.5,12.0,11.0,10.0,10.0,12.5,0,0,0,0,0,0
2024-11-05,10.0,11.0,10.5,10.0,10.5,11.5,10.0,10.0,11.0,11.5,11.5,12.5,11.5,12.5,0,0,0,0,0,0
2024-11-06,10.0,12.0,10.5,10.0,10.5,12.0,10.0,10.0,11.0,10.5,11.0,11.0,12.5,12.5,0,0,0,0,0,0
2024-11-07,10.5,11.0,10.0,10.0,10.5,14.5,11.0,10.5,11.0,10.0,12.0,11.0,10.0,13.0,0,0,0,0,0,0
2024-11-08,10.5,10.0,11.5,10.0,10.0,10.5,10.0,12.5,10.5,11.0,12.5,10.5,12.0,12.0,0,0,0,0,0,0
2024-11-11,10.5,12.5,11.0,10.0,9.0,10.0,10.5,10.0,11.0,11.0,11.0,10.5,10.0,11.0,0,0,0,0,0,0
2024-11-12,11.0,11.0,10.0,10.0,9.0,10.5,10.0,10.5,13.0,10.0,10.5,10.5,10.0,12.0,0,0,0,0,0,0
2024-11-13,12.0,10.5,11.5,10.0,6.0,10.0,10.0,10.0,12.0,10.5,10.5,10.0,10.5,0.0,0,0,0,0,0,0
2024-11-14,10.5,11.0,12.5,10.5,9.0,12.0,10.0,10.5,13.0,10.0,12.0,11.0,10.0,13.0,0,0,0,0,0,0
2024-11-15,11.0,13.5,11.0,0.0,11.0,10.5,10.0,10.5,14.0,11.0,12.5,11.0,11.5,13.0,0,0,0,0,0,0
2024-11-18,10.5,10.5,11.5,10.5,11.5,11.0,10.5,11.0,12.5,14.5,11.5,10.0,10.0,0.0,0,0,0,0,0,0
2024-11-19,11.0,11.0,11.5,10.5,7.5,12.5,10.5,11.0,11.5,12.0,8.0,11.5,10.0,10.5,0,0,0,0,0,0
2024-11-20,10.0,12.0,12.0,10.0,8.5,12.5,10.5,11.5,11.5,10.0,10.0,10.5,10.5,0.0,0,0,0,0,0,0
2024-11-21,10.5,13.5,11.0,10.0,10.5,11.5,10.5,10.0,13.0,12.5,10.5,10.5,10.5,12.0,0,0,0,0,0,0
2024-11-22,11.0,14.5,11.5,10.5,10.0,11.0,10.5,10.5,12.0,13.0,11.5,10.0,11.0,14.5,0,0,0,0,0,0
2024-11-25,10.0,10.5,10.0,10.5,4.0,10.5,10.5,10.5,11.0,11.0,10.0,10.0,10.0,11.5,0,0,0,0,0,0
2024-11-26,10.0,12.0,12.0,10.5,8.0,13.0,10.5,10.5,10.5,11.0,12.0,11.0,13.0,10.5,0,0,0,0,0,0
2024-11-27,10.5,10.5,10.5,17.0,4.5,11.0,10.0,0.0,11.5,11.5,11.0,10.5,12.0,14.0,0,0,0,0,0,0
2024-11-29,10.0,12.5,10.5,14.0,4.5,10.5,10.5,10.5,10.5,12.5,11.0,12.5,10.5,0.0,0,0,0,0,0,0
2024-12-02,11.5,11.0,13.5,13.5,5.5,12.5,10.5,10.5,11.0,17.5,10.5,13.0,11.5,0.0,0,0,0,0,0,0
2024-12-03,10.5,13.5,10.5,10.0,9.5,11.0,11.0,10.0,12.0,12.0,11.5,12.5,10.5,0.0,0,0,0,0,0,0
2024-12-04,11.0,12.0,12.0,11.0,3.0,11.0,10.5,0.0,12.0,11.5,11.0,10.0,11.0,0.0,0,0,0,0,0,0
2024-12-05,11.5,12.0,12.0,11.5,0.0,11.0,11.0,10.0,11.0,11.5,11.5,10.0,10.0,0.0,0,0,0,0,0,0
2024-12-06,10.5,11.5,10.5,14.5,9.5,10.5,10.0,10.5,11.0,11.0,11.0,10.5,10.5,0.0,0,0,0,0,0,0
2024-12-09,11.5,11.5,11.0,11.5,8.0,11.0,10.0,10.5,10.5,11.0,10.0,10.5,11.0,0.0,0,0,0,0,0,0
2024-12-10,10.5,12.5,10.0,10.5,10.0,13.0,10.5,11.0,12.0,10.0,11.0,11.5,15.5,0.0,0,0,0,0,0,0
2024-12-11,11.0,12.0,11.0,10.0,3.0,10.5,10.0,10.0,10.0,10.5,10.5,10.5,10.0,0.0,0,0,0,0,0,0
2024-12-12,12.0,10.0,11.5,10.0,10.0,10.0,10.0,10.0,10.5,10.5,11.5,10.0,11.0,0.0,0,0,0,0,0,0
2024-12-13,12.5,10.5,11.0,12.5,3.0,11.0,10.5,10.0,11.5,11.0,10.5,10.5,10.0,0.0,0,0,0,0,0,0
2024-12-16,14.0,12.0,10.0,11.0,8.0,10.5,11.0,12.5,10.0,10.0,12.0,10.5,10.0,0.0,0,0,0,0,0,0
2024-12-17,12.5,11.5,10.5,10.5,10.5,11.5,10.0,10.0,12.5,10.5,11.0,11.5,11.0,0.0,0,0,0,0,0,0
2024-12-18,11.0,12.0,14.0,10.5,12.0,11.5,10.0,10.0,10.5,12.0,10.5,11.0,10.5,0.0,0,0,0,0,0,0
2024-12-19,11.0,11.0,11.5,10.5,10.0,11.0,10.0,10.5,11.0,10.0,11.5,11.0,10.0,0.0,0,0,0,0,0,0
2024-12-20,11.5,13.0,19.0,11.0,10.0,10.5,11.0,12.0,10.0,20.5,11.5,10.0,10.0,0.0,0,0,0,0,0,0
2024-12-23,11.5,11.0,15.0,10.0,8.5,10.5,10.5,10.5,11.0,12.5,0.0,10.5,10.5,0.0,0,0,0,0,0,0
2024-12-24,11.0,11.5,12.5,11.0,2.0,10.5,12.0,10.5,12.0,12.0,13.0,13.0,11.0,0.0,0,0,0,0,0,0
2024-12-26,10.0,12.0,13.0,10.5,10.0,10.5,10.5,11.5,10.0,13.0,10.5,12.5,11.5,0.0,0,0,0,0,0,0
2024-12-27,10.0,11.5,0.0,10.5,6.5,10.0,11.0,0.0,12.0,11.0,10.5,12.0,8.0,0.0,0,0,0,0,0,0
2024-12-30,0.0,11.0,11.5,10.0,5.0,11.0,10.5,10.0,15.0,10.5,10.0,10.5,12.5,0.0,0,0,0,0,0,0
